[logit lens]
  L            think           ignore          mention          control  think_nontarget   frac<ctrl_med
  0             5.13             5.13             5.13             5.13             5.13   0.50
  1             5.17             5.17             5.17             5.17             5.17   0.50
  2             4.93             4.93             4.99             4.91             4.92   0.48
  3             4.91             4.80             4.97             4.84             4.91   0.46
  4             4.98             4.90             4.96             4.95             5.00   0.49
  5             4.87             4.84             4.65             4.76             4.92   0.46
  6             4.70             4.64             4.41             4.61             4.71   0.47
  7             4.67             4.78             4.43             4.67             4.68   0.50
  8             4.60             4.80             4.38             4.50             4.60   0.46
  9             4.37             4.52             4.31             4.40             4.42   0.52
 10             4.34             4.45             4.28             4.34             4.35   0.50
 11             4.32             4.60             4.39             4.31             4.37   0.49
 12             4.34             4.70             4.54             4.31             4.37   0.48
 13             4.08             4.32             4.21             4.52             4.31   0.65
 14             3.86             4.10             3.81             4.14             4.07   0.60
 15             3.73             4.00             3.86             4.17             4.00   0.66
 16             3.85             4.20             4.05             4.31             4.17   0.66
 17             3.94             4.28             3.96             4.30             4.32   0.65
 18             3.96             4.57             4.10             4.44             4.49   0.68
 19             4.02             4.51             4.17             4.59             4.51   0.72
 20             4.09             4.57             4.20             4.64             4.52   0.75
 21             4.07             4.55             4.20             4.63             4.55   0.76
 22             3.69             4.30             4.17             4.76             4.49   0.88
 23             3.32             3.80             3.71             4.58             4.40   0.93
 24             3.18             3.73             3.84             4.54             4.44   0.94
 25             3.21             3.66             3.75             4.43             4.46   0.95
 26             3.42             3.71             3.76             4.43             4.46   0.95
 27             3.50             3.87             3.97             4.39             4.41   0.95
 28             3.44             3.91             3.80             4.30             4.30   0.95
 29             3.50             3.88             3.70             4.20             4.20   0.96
 30             2.86             3.35             3.08             3.72             3.79   0.85
 31             2.82             3.26             2.87             3.48             3.50   0.89
 32             1.64             2.25             2.00             3.84             3.76   0.98

[J-lens]
  L            think           ignore          mention          control  think_nontarget   frac<ctrl_med
  0             4.49             4.49             4.49             4.49             4.49   0.50
  1             5.12             5.11             5.12             5.10             5.11   0.48
  2             4.52             4.51             4.46             4.54             4.52   0.52
  3             4.18             4.22             4.27             4.20             4.20   0.51
  4             4.51             4.61             4.61             4.63             4.49   0.60
  5             5.13             5.10             5.12             5.16             5.14   0.55
  6             5.13             5.18             5.19             5.21             5.17   0.61
  7             5.01             5.09             5.12             5.11             5.06   0.60
  8             4.88             5.01             4.94             5.05             4.96   0.58
  9             4.73             4.79             4.77             4.88             4.84   0.59
 10             4.40             4.54             4.55             4.50             4.52   0.54
 11             4.54             4.58             4.68             4.60             4.59   0.52
 12             4.89             4.87             5.07             4.90             4.97   0.51
 13             4.92             5.06             4.89             5.04             5.11   0.56
 14             4.91             4.90             5.09             5.15             5.10   0.65
 15             4.87             5.13             5.06             5.16             5.12   0.66
 16             4.83             5.18             5.14             5.19             5.13   0.72
 17             4.72             5.14             4.97             5.17             5.10   0.73
 18             4.50             5.11             4.77             5.14             5.06   0.83
 19             4.44             5.11             4.69             5.13             5.05   0.80
 20             4.32             5.09             4.56             5.06             5.00   0.78
 21             4.14             4.95             4.58             5.08             4.93   0.86
 22             3.65             4.54             4.28             4.85             4.78   0.89
 23             3.16             4.14             3.84             4.73             4.66   0.94
 24             2.75             3.86             3.75             4.80             4.71   0.98
 25             1.95             3.57             3.37             4.71             4.68   0.99
 26             1.86             3.55             3.46             4.88             4.72   1.00
 27             1.85             3.40             3.41             4.86             4.78   1.00
 28             2.20             3.47             3.60             4.80             4.71   1.00
 29             2.20             3.35             3.48             4.76             4.65   0.99
 30             2.20             3.19             3.23             4.34             4.24   0.99
 31             2.13             3.24             2.86             4.18             4.09   0.98
 32             1.65             2.25             1.98             3.79             3.74   0.98
